temperatura,vibracao,pressao,horas_uso,material,turno,operador,falha
101.0,3.1658413700806283,130.0,1727.0,ferro,manhã,senior,sem falha
64.0,2.7976052349215057,144.0,,alumínio,tarde,senior,sem falha
110.0,2.0960910686428784,79.0,8496.0,ferro,manhã,pleno,falha
,2.654747405221332,98.0,6658.0,ferro,manhã,,sem falha
73.0,4.49321582649815,117.0,5372.0,ferro,noite,pleno,sem falha
52.0,1.0618420813242286,131.0,7981.0,alumínio,manhã,junior,sem falha
71.0,0.21056610735620146,82.0,9083.0,ferro,manhã,senior,sem falha
102.0,4.3221579350255945,113.0,3847.0,alumínio,manhã,junior,sem falha
51.0,2.927873703700742,116.0,9397.0,aço,tarde,junior,sem falha
79.0,4.464226431763028,133.0,9382.0,aço,manhã,senior,sem falha
87.0,3.025031594724546,122.0,1707.0,alumínio,tarde,pleno,
51.0,4.069789340802543,,,ferro,tarde,senior,sem falha
113.0,2.2053994804402253,145.0,7253.0,aço,manhã,junior,falha
109.0,3.774313663312517,113.0,,ferro,manhã,pleno,falha
,4.573903187760294,97.0,166.0,ferro,manhã,junior,sem falha
,2.903402522238811,71.0,8100.0,alumínio,manhã,pleno,sem falha
107.0,0.9858472377556597,126.0,7745.0,aço,manhã,senior,sem falha
71.0,1.4171083136479712,126.0,9570.0,,manhã,junior,sem falha
98.0,1.0733584267972884,103.0,4258.0,alumínio,manhã,pleno,sem falha
108.0,1.3095994352190914,127.0,9105.0,alumínio,tarde,pleno,sem falha
91.0,1.6014357018200784,121.0,502.0,,noite,senior,sem falha
109.0,2.820155555090624,98.0,8025.0,ferro,tarde,pleno,falha
64.0,2.981158984372781,104.0,4266.0,aço,manhã,pleno,sem falha
111.0,2.18984876148512,144.0,3025.0,aço,noite,junior,sem falha
111.0,3.115561821122094,117.0,3093.0,aço,noite,senior,sem falha
96.0,0.4997171354956931,,9378.0,ferro,manhã,senior,sem falha
111.0,0.5301623615849839,144.0,871.0,ferro,manhã,junior,sem falha
,0.9419643557525265,142.0,7471.0,alumínio,tarde,junior,sem falha
104.0,2.6385797403976894,147.0,9961.0,alumínio,noite,junior,falha
113.0,1.1485739256217367,,5813.0,alumínio,noite,pleno,sem falha
52.0,1.4880935771136292,117.0,8267.0,alumínio,manhã,senior,sem falha
100.0,2.061532897247671,136.0,1656.0,aço,manhã,senior,sem falha
56.0,4.078144007650861,105.0,1251.0,alumínio,noite,senior,sem falha
70.0,0.16792446597301458,140.0,5414.0,ferro,noite,pleno,sem falha
88.0,3.2819562191594502,113.0,1317.0,ferro,manhã,senior,sem falha
67.0,3.3774950020993586,129.0,4044.0,ferro,manhã,senior,sem falha
53.0,4.013413323747519,132.0,8139.0,alumínio,manhã,senior,sem falha
109.0,4.6704894013955345,74.0,2142.0,aço,tarde,senior,sem falha
63.0,0.1986754598515202,145.0,6403.0,aço,tarde,junior,sem falha
58.0,0.8535401570147594,109.0,8997.0,alumínio,manhã,pleno,sem falha
102.0,4.442239340874366,88.0,2769.0,alumínio,tarde,senior,sem falha
51.0,2.3467409547163753,116.0,2213.0,ferro,noite,senior,sem falha
109.0,2.8664941307739715,134.0,3077.0,ferro,noite,senior,sem falha
93.0,3.3488332982434224,136.0,4478.0,aço,manhã,senior,sem falha
57.0,3.4274263620286236,87.0,7327.0,ferro,noite,senior,sem falha
96.0,4.66552797625089,119.0,6361.0,ferro,noite,junior,falha
84.0,4.985052145317181,99.0,522.0,alumínio,noite,junior,sem falha
85.0,3.6287715585616076,135.0,8822.0,aço,noite,pleno,sem falha
99.0,1.5073839251052392,74.0,190.0,alumínio,noite,pleno,sem falha
53.0,4.410786771242283,111.0,3472.0,aço,tarde,senior,sem falha
51.0,0.3411824812497319,74.0,6136.0,alumínio,tarde,senior,sem falha
55.0,1.2322961790850315,119.0,2042.0,aço,manhã,junior,sem falha
103.0,4.497190015572203,127.0,3905.0,ferro,noite,pleno,sem falha
53.0,1.3553384207528394,148.0,9532.0,aço,tarde,senior,sem falha
103.0,1.1811901921465677,77.0,197.0,aço,tarde,senior,
112.0,0.7768139363872115,100.0,1579.0,alumínio,tarde,senior,sem falha
67.0,4.309647612469891,81.0,4726.0,aço,noite,pleno,sem falha
93.0,2.550285470036325,90.0,5247.0,aço,tarde,junior,falha
83.0,3.406976694965359,131.0,3747.0,aço,manhã,junior,sem falha
111.0,1.2714252819676455,102.0,5543.0,alumínio,manhã,senior,sem falha
63.0,3.814398062954961,95.0,179.0,aço,noite,senior,sem falha
97.0,3.8240271703142827,109.0,5677.0,alumínio,manhã,senior,falha
64.0,1.631730322050671,134.0,2323.0,ferro,tarde,senior,sem falha
111.0,2.112344901750386,128.0,2669.0,alumínio,noite,senior,sem falha
89.0,1.1274823594079844,84.0,4618.0,aço,manhã,pleno,sem falha
102.0,4.885149014282231,70.0,1223.0,ferro,noite,junior,sem falha
73.0,3.2634526275862172,80.0,2723.0,aço,tarde,pleno,sem falha
75.0,4.679265015506026,124.0,1503.0,alumínio,manhã,pleno,sem falha
109.0,1.5865891637827527,71.0,2678.0,ferro,tarde,senior,sem falha
90.0,3.93126547368476,134.0,431.0,ferro,manhã,,sem falha
78.0,3.852707355035236,113.0,7585.0,ferro,noite,junior,sem falha
64.0,3.489112694146054,85.0,839.0,aço,manhã,senior,sem falha
94.0,4.831630978807322,91.0,8333.0,,manhã,junior,falha
114.0,2.0284211469209463,87.0,5080.0,ferro,manhã,pleno,falha
58.0,0.7405148855898108,116.0,3978.0,ferro,noite,senior,sem falha
50.0,,99.0,2049.0,ferro,manhã,junior,sem falha
57.0,3.6736180223383106,79.0,3560.0,alumínio,tarde,junior,sem falha
112.0,2.917796809948192,127.0,2228.0,aço,noite,senior,sem falha
60.0,1.1134076763536418,131.0,4597.0,aço,noite,junior,sem falha
57.0,2.5718341141798415,149.0,2254.0,ferro,tarde,senior,sem falha
84.0,1.6297297091887344,75.0,5330.0,alumínio,noite,senior,sem falha
84.0,2.194585988016777,136.0,7544.0,ferro,manhã,pleno,sem falha
82.0,3.2615710216388534,110.0,1337.0,,noite,junior,sem falha
54.0,3.7515522391850897,112.0,8797.0,aço,tarde,senior,sem falha
,1.2379009854165814,146.0,5340.0,aço,noite,pleno,sem falha
77.0,2.0860942671700715,87.0,4915.0,ferro,tarde,pleno,sem falha
,1.4188916978589832,127.0,9686.0,ferro,noite,senior,sem falha
61.0,1.0732949079231588,129.0,356.0,alumínio,tarde,senior,sem falha
,3.9385973779796086,96.0,1820.0,alumínio,noite,junior,sem falha
82.0,,137.0,7447.0,aço,manhã,junior,
97.0,1.914137709854426,91.0,7176.0,aço,tarde,,sem falha
72.0,,93.0,1171.0,alumínio,tarde,,
111.0,4.495276917885614,109.0,1722.0,aço,noite,,
86.0,4.2460086315981345,143.0,2166.0,alumínio,noite,pleno,sem falha
93.0,0.9957856038422069,135.0,9361.0,ferro,noite,senior,sem falha
84.0,4.7858302194154705,109.0,8742.0,,manhã,junior,sem falha
114.0,1.9457145581043662,,,,noite,pleno,sem falha
96.0,1.7622792397517983,,5275.0,alumínio,tarde,pleno,sem falha
52.0,,99.0,8373.0,ferro,noite,junior,sem falha
50.0,2.482250905113927,90.0,9028.0,aço,manhã,pleno,sem falha
54.0,0.6341667166405507,131.0,4274.0,aço,noite,junior,sem falha
63.0,1.3178451225443875,79.0,,alumínio,noite,pleno,sem falha
76.0,1.653018846659679,82.0,4044.0,ferro,tarde,pleno,sem falha
58.0,4.063248985109252,145.0,6526.0,alumínio,noite,pleno,sem falha
64.0,4.3898943869398925,78.0,5535.0,ferro,manhã,junior,sem falha
91.0,1.5820849555612015,137.0,9983.0,ferro,noite,pleno,sem falha
100.0,4.307620794098412,108.0,9471.0,alumínio,noite,pleno,falha
,4.300431593111976,93.0,3035.0,alumínio,tarde,pleno,sem falha
101.0,3.8467896568858806,103.0,5933.0,ferro,noite,senior,
53.0,0.8188060586743896,130.0,8188.0,alumínio,tarde,pleno,sem falha
72.0,3.4825819498135724,110.0,561.0,aço,tarde,pleno,sem falha
64.0,4.730617916444787,74.0,216.0,aço,noite,junior,sem falha
92.0,3.44444834595907,148.0,5885.0,aço,,junior,falha
78.0,1.7249225606283867,119.0,6607.0,aço,tarde,senior,sem falha
85.0,2.5528386554110734,73.0,9946.0,aço,noite,junior,sem falha
62.0,3.2640527124201633,120.0,5930.0,alumínio,noite,junior,sem falha
81.0,2.6017950027696677,121.0,4661.0,ferro,manhã,junior,sem falha
