,buying,maint,doors,persons,lug_boot,safety,category
0,4.0,4.0,2,2,0.0,2.0,unacc
1,4.0,4.0,2,2,0.0,3.0,unacc
2,4.0,4.0,2,2,1.0,1.0,unacc
3,4.0,4.0,2,2,1.0,2.0,unacc
4,4.0,4.0,2,2,1.0,3.0,unacc
5,4.0,4.0,2,2,2.0,1.0,unacc
6,4.0,4.0,2,2,2.0,2.0,unacc
7,4.0,4.0,2,2,2.0,3.0,unacc
8,4.0,4.0,2,4,0.0,1.0,unacc
9,4.0,4.0,2,4,0.0,2.0,unacc
10,4.0,4.0,2,4,0.0,3.0,unacc
11,4.0,4.0,2,4,1.0,1.0,unacc
12,4.0,4.0,2,4,1.0,2.0,unacc
13,4.0,4.0,2,4,1.0,3.0,unacc
14,4.0,4.0,2,4,2.0,1.0,unacc
15,4.0,4.0,2,4,2.0,2.0,unacc
16,4.0,4.0,2,4,2.0,3.0,unacc
17,4.0,4.0,2,more,,1.0,unacc
18,4.0,4.0,2,more,0.0,2.0,unacc
19,4.0,4.0,2,more,0.0,3.0,unacc
20,4.0,4.0,2,more,1.0,1.0,unacc
21,4.0,4.0,2,more,1.0,2.0,unacc
22,4.0,4.0,2,more,1.0,3.0,unacc
23,4.0,4.0,2,more,2.0,1.0,unacc
24,4.0,4.0,2,more,2.0,2.0,unacc
25,4.0,4.0,2,more,2.0,3.0,unacc
26,4.0,4.0,3,2,0.0,1.0,unacc
27,4.0,4.0,3,2,0.0,2.0,unacc
28,4.0,4.0,3,2,0.0,3.0,unacc
29,4.0,4.0,3,2,1.0,1.0,unacc
30,4.0,4.0,3,2,1.0,2.0,unacc
31,4.0,4.0,3,2,1.0,3.0,unacc
32,4.0,4.0,3,2,2.0,1.0,unacc
33,4.0,4.0,3,2,2.0,2.0,unacc
34,4.0,4.0,3,2,2.0,3.0,unacc
35,4.0,4.0,3,4,0.0,1.0,unacc
36,4.0,4.0,3,4,0.0,2.0,unacc
37,4.0,4.0,3,4,0.0,3.0,unacc
38,4.0,4.0,3,4,1.0,1.0,unacc
39,4.0,4.0,3,4,1.0,2.0,unacc
40,4.0,4.0,3,4,1.0,3.0,unacc
41,4.0,4.0,3,4,2.0,1.0,unacc
42,4.0,4.0,3,4,2.0,2.0,unacc
43,4.0,4.0,3,4,2.0,3.0,unacc
44,4.0,4.0,3,more,0.0,1.0,unacc
45,4.0,4.0,3,more,0.0,2.0,unacc
46,4.0,4.0,3,more,0.0,3.0,unacc
47,4.0,4.0,3,more,1.0,1.0,unacc
48,4.0,4.0,3,more,1.0,2.0,unacc
49,4.0,4.0,3,more,1.0,3.0,unacc
50,4.0,4.0,3,more,2.0,1.0,unacc
51,4.0,4.0,3,more,2.0,2.0,unacc
52,4.0,4.0,3,more,2.0,3.0,unacc
53,4.0,4.0,4,2,0.0,1.0,unacc
54,4.0,4.0,4,2,0.0,2.0,unacc
55,4.0,4.0,4,2,0.0,3.0,unacc
56,4.0,4.0,4,2,1.0,1.0,unacc
57,4.0,4.0,4,2,1.0,2.0,unacc
58,4.0,4.0,4,2,1.0,3.0,unacc
59,4.0,4.0,4,2,2.0,1.0,unacc
60,4.0,4.0,4,2,2.0,2.0,unacc
61,4.0,4.0,4,2,2.0,3.0,unacc
62,4.0,4.0,4,4,0.0,1.0,unacc
63,4.0,4.0,4,4,0.0,2.0,unacc
64,4.0,4.0,4,4,0.0,3.0,unacc
65,4.0,4.0,4,4,1.0,1.0,unacc
66,4.0,4.0,4,4,1.0,2.0,unacc
67,4.0,4.0,4,4,1.0,3.0,unacc
68,4.0,4.0,4,4,2.0,1.0,unacc
69,4.0,4.0,4,4,2.0,2.0,unacc
70,4.0,4.0,4,4,2.0,3.0,unacc
71,4.0,4.0,4,more,0.0,1.0,unacc
72,4.0,4.0,4,more,0.0,2.0,unacc
73,4.0,4.0,4,more,0.0,3.0,unacc
74,4.0,4.0,4,more,1.0,1.0,unacc
75,4.0,4.0,4,more,1.0,2.0,unacc
76,4.0,4.0,4,more,1.0,3.0,unacc
77,4.0,4.0,4,more,2.0,1.0,unacc
78,4.0,4.0,4,more,2.0,2.0,unacc
79,4.0,4.0,4,more,2.0,3.0,unacc
80,4.0,4.0,5more,2,0.0,1.0,unacc
81,4.0,4.0,5more,2,0.0,2.0,unacc
82,4.0,4.0,5more,2,0.0,3.0,unacc
