Player Name,Ping,Kills,Assists,Deaths,MVP,HSP,Score
DNB,45,38,4,20,8,42,90
link1n,31,22,3,17,5,54,51
sn0w,42,14,4,20,0,40,42
reedkihaddi,90,13,3,23,0,28,33
pEhnol,33,11,4,27,0,54,26
Gilmour,21,26,2,19,3,22,65
MattY,26,26,4,19,5,19,61
Tangenbergggg,15,25,6,21,2,12,58
ZOMB!E,22,15,6,22,3,20,46
FanTage,18,13,5,22,2,46,37
Rock C,27,26,2,17,3,38,59
Salim Shady,58,13,1,13,2,69,30
Busted Baby,85,6,3,16,0,33,16
Meow,65,5,1,16,0,40,13
𝔽𝕒𝕃𝕔𝕠ℕ,7,4,4,16,0,25,13
sn0w,43,20,3,11,5,45,55
reedkihaddi,105,16,1,10,5,56,48
link1n,46,19,1,10,0,42,46
pEhnol,43,10,3,11,4,40,39
DNB,50,13,1,12,2,46,34
reedkihaddi,107,22,4,21,3,45,50
sn0w,41,22,3,22,3,27,50
link1n,46,19,2,20,3,63,48
XLR8,79,17,5,18,0,47,44
pEhnol,45,7,1,25,0,0,22
gl1tch #hellcase.com,53,25,4,17,5,52,58
Destructive,30,25,5,18,4,12,56
NeO312,31,19,7,15,4,52,54
✞  Ś Ṁ Ă Ź  ✞,20,19,7,21,0,21,47
chery,46,18,2,16,2,55,44
sn0w,47,19,6,9,4,47,52
bravesaw,15,19,3,11,3,63,43
reedkihaddi,53,16,5,13,3,25,39
Darktitan27,42,17,3,11,4,58,38
DNB,58,13,2,6,2,23,28
Mus1x <3 noxy,46,15,3,18,0,33,36
Stefan,62,12,2,16,0,58,29
✪ AinsTV,89,10,2,16,0,20,22
PaYnE,47,8,3,16,0,75,21
BlaBla,26,5,3,18,0,60,13
Captain VYOM,33,41,2,16,7,48,109
reedkihaddi,55,22,1,25,4,45,51
pEhnol,49,15,7,25,0,40,39
abhi17,51,12,7,23,2,25,39
link1n,47,10,5,24,0,40,30
RAINy,84,35,3,21,6,25,81
somebody-The smokecriminal,42,26,5,18,3,29,70
FnaticFan,89,26,3,19,2,46,66
800x600,82,17,3,22,0,23,43
ERGSDF,0,7,1,18,3,14,27
✪po†@†o Mℯ!s†ℯℜ♣,62,30,2,11,6,40,65
idleJ ♡,99,26,3,15,5,34,57
✪ Moko -iwnl,31,16,5,10,2,18,43
RexDeaThCoDe,73,10,5,13,0,10,31
val,62,12,1,13,2,58,30
sn0w,47,21,3,19,2,28,53
DNB,63,15,1,18,3,40,35
link1n,47,12,2,18,2,33,28
reedkihaddi,46,9,2,20,0,55,24
pEhnol,52,5,4,19,0,20,14
sn0w,31,34,4,22,8,17,85
DNB,38,20,10,22,3,40,61
